Parameter,Gradient
0,0.0003642908704932779
1,0.13167116045951843
2,0.47322237491607666
3,0.02140200324356556
4,0.9630503058433533
5,0.03529316559433937
6,2.341214418411255
7,0.20296218991279602
8,0.007548407651484013
9,0.007548407651484013
10,0.11149889975786209
11,0.0041201189160346985
12,3.4932675134768942e-06
13,8.537961093679769e-07
14,0.7375902533531189
15,0.0009021481964737177
16,1.608792445040308e-05
17,0.0006222384399734437
18,2.8453021059249295e-06
19,2.8453021059249295e-06
20,0.35883811116218567
21,0.4256408214569092
22,0.014817090705037117
23,0.28142446279525757
24,0.021066199988126755
